# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.04775e-05 to 66.1767 h/Mpc,
# number of wavenumbers equal to 130
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_dmeff                5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.047750691046e-05      -1.585042200801e-05      -1.188786610638e-05      -1.188786651734e-05      -1.585041425869e-05      -1.200118372898e-05       6.122075869504e-01       5.968372822439e-01 
       1.319039970183e-05      -2.512115999595e-05      -1.884099458734e-05      -1.884099561961e-05      -2.512114053057e-05      -1.902058935737e-05       6.122073851369e-01       5.968371428373e-01 
       1.660572937635e-05      -3.981419154964e-05      -2.986095661835e-05      -2.986095921126e-05      -3.981414265487e-05      -3.014559124404e-05       6.122070739884e-01       5.968369409481e-01 
       2.090537469327e-05      -6.310083172956e-05      -4.732640990591e-05      -4.732641641889e-05      -6.310070891321e-05      -4.777751559977e-05       6.122066442188e-01       5.968366667359e-01 
       2.631830744443e-05      -1.000070385241e-04      -7.500725349775e-05      -7.500726985804e-05      -1.000067300251e-04      -7.572218317502e-05       6.122058794162e-01       5.968361586520e-01 
       3.313278603720e-05      -1.584978627145e-04      -1.188783569813e-04      -1.188783980764e-04      -1.584970878146e-04      -1.200113822077e-04       6.122046717585e-01       5.968353542695e-01 
       4.171170630578e-05      -2.511956166574e-04      -1.884091711658e-04      -1.884092743914e-04      -2.511936702545e-04      -1.902047394743e-04       6.122027445538e-01       5.968340634250e-01 
       5.251192703764e-05      -3.981017278267e-04      -2.986075900521e-04      -2.986078493408e-04      -3.980968389081e-04      -3.014529830559e-04       6.121996885097e-01       5.968320169803e-01 
       6.610859936996e-05      -6.309072943479e-04      -4.732590758589e-04      -4.732597271608e-04      -6.308950148624e-04      -4.777677378669e-04       6.121948556992e-01       5.968287822779e-01 
       8.322579568497e-05      -9.998166539648e-04      -7.500599281063e-04      -7.500615641206e-04      -9.997858127825e-04      -7.572032095968e-04       6.121872081977e-01       5.968236710068e-01 
       1.047750691046e-04      -1.584341334386e-03      -1.188751904851e-03      -1.188756014215e-03      -1.584263879444e-03      -1.200067048894e-03       6.121750884530e-01       5.968155640348e-01 
       1.319039970183e-04      -2.510355613587e-03      -1.884012216496e-03      -1.884022538687e-03      -2.510161112246e-03      -1.901929956077e-03       6.121558725144e-01       5.968027126665e-01 
       1.660572937635e-04      -3.976997740769e-03      -2.985876285243e-03      -2.985902213400e-03      -3.976509400760e-03      -3.014234931088e-03       6.121254267065e-01       5.967823494515e-01 
       2.090537469327e-04      -6.298979618652e-03      -4.732089491952e-03      -4.732154619818e-03      -6.297753859486e-03      -4.776936868992e-03       6.120771893379e-01       5.967500846393e-01 
       2.631830744443e-04      -9.972825709998e-03      -7.499340245543e-03      -7.499503833576e-03      -9.969750313918e-03      -7.570172499587e-03       6.120007738916e-01       5.966989573869e-01 
       3.313278603720e-04      -1.577981003569e-02      -1.188435714612e-02      -1.188476803908e-02      -1.577209917939e-02      -1.199600160534e-02       6.118797538931e-01       5.966179581605e-01 
       4.171170630578e-04      -2.494399073011e-02      -1.883218244965e-02      -1.883321450799e-02      -2.492467824919e-02      -1.900758070255e-02       6.116881809384e-01       5.964896640694e-01 
       5.251192703764e-04      -3.936995730813e-02      -2.983882962859e-02      -2.984142171378e-02      -3.932167031541e-02      -3.011294794819e-02       6.113851366318e-01       5.962865326014e-01 
       6.610859936996e-04      -6.198812663176e-02      -4.727086510671e-02      -4.727737488447e-02      -6.186772168806e-02      -4.769565383876e-02       6.109062929309e-01       5.959650954116e-01 
       8.322579568497e-04      -9.722461007396e-02      -7.486789402852e-02      -7.488424115836e-02      -9.692566936849e-02      -7.551711048510e-02       6.101509956860e-01       5.954569167532e-01 
       1.047750691046e-03      -1.515583937026e-01      -1.185289468357e-01      -1.185699894714e-01      -1.508212691457e-01      -1.194984565643e-01       6.089629538638e-01       5.946546741982e-01 
       1.319039970183e-03      -2.339601892856e-01      -1.875340507113e-01      -1.876370684343e-01      -2.321624486976e-01      -1.889249827434e-01       6.071024353408e-01       5.933911213570e-01 
       1.660572937635e-03      -3.555788506748e-01      -2.964244916559e-01      -2.966857444841e-01      -3.512545175190e-01      -2.982793820029e-01       6.042239703728e-01       5.914220040470e-01 
       2.090537469327e-03      -5.270775644270e-01      -4.678249308393e-01      -4.684832540439e-01      -5.169779540158e-01      -4.699401506659e-01       5.997968093635e-01       5.883519730398e-01 
       2.631830744443e-03      -7.503783281077e-01      -7.365798463506e-01      -7.382320221352e-01      -7.279017559923e-01      -7.380642679296e-01       5.931005166085e-01       5.836053403433e-01 
       3.313278603720e-03      -1.000133725497e+00      -1.155510615886e+00      -1.159645225749e+00      -9.539642335930e-01      -1.153913362295e+00       5.832382928471e-01       5.763742553114e-01 
       4.171170630578e-03      -1.194799516305e+00      -1.802808550079e+00      -1.813124092961e+00      -1.112428912833e+00      -1.792908455648e+00       5.692859562229e-01       5.656123564934e-01 
       5.251192703764e-03      -1.185170000472e+00      -2.790286495096e+00      -2.815916456501e+00      -1.073924596964e+00      -2.764086323944e+00       5.506656120349e-01       5.501661590326e-01 
       6.610859936996e-03      -8.572551868199e-01      -4.270304056128e+00      -4.333599661842e+00      -7.898664372621e-01      -4.223790014464e+00       5.276532576935e-01       5.291757086570e-01 
       8.322579568497e-03      -4.422274274780e-01      -6.437283135368e+00      -6.592207330871e+00      -5.384209612565e-01      -6.393941875162e+00       5.013413681433e-01       5.027223051587e-01 
