# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 67.6233 h/Mpc,
# number of wavenumbers equal to 246
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       7.261927681465e-03 
       1.131335172503e-05       7.820331653081e-03 
       1.221587619537e-05       8.421675996156e-03 
       1.319039970183e-05       9.069258202604e-03 
       1.424266597921e-05       9.766638412944e-03 
       1.537887696968e-05       1.051764070888e-02 
       1.660572937635e-05       1.132639106819e-02 
       1.793045413292e-05       1.219733232816e-02 
       1.936085902198e-05       1.313524225888e-02 
       2.090537469327e-05       1.414527123517e-02 
       2.257310435294e-05       1.523296273950e-02 
       2.437387741694e-05       1.640429446425e-02 
       2.631830744443e-05       1.766569584207e-02 
       2.841785469300e-05       1.902408737161e-02 
       3.068489366414e-05       2.048692972943e-02 
       3.313278603720e-05       2.206225516125e-02 
       3.577595942169e-05       2.375870707634e-02 
       3.862999239199e-05       2.558560730415e-02 
       4.171170630578e-05       2.755297766505e-02 
       4.503926444729e-05       2.967161930723e-02 
       4.863227907969e-05       3.195316454499e-02 
       5.251192703764e-05       3.441013523233e-02 
       5.670107454120e-05       3.705601726774e-02 
       6.122441196689e-05       3.990533418148e-02 
       6.610859936996e-05       4.297372173134e-02 
       7.138242361596e-05       4.627802147000e-02 
       7.707696804727e-05       4.983636199877e-02 
       8.322579568497e-05       5.366826853388e-02 
       8.986514704559e-05       5.779476401196e-02 
       9.703415373875e-05       6.223848251034e-02 
       1.047750691046e-04       6.702379873330e-02 
       1.131335172503e-04       7.217695161667e-02 
       1.221587619537e-04       7.772619082498e-02 
       1.319039970183e-04       8.370193441981e-02 
       1.424266597921e-04       9.013692517883e-02 
       1.537887696968e-04       9.706641253704e-02 
       1.660572937635e-04       1.045283355470e-01 
       1.793045413292e-04       1.125635350359e-01 
       1.936085902198e-04       1.212159616358e-01 
       2.090537469327e-04       1.305329134211e-01 
       2.257310435294e-04       1.405652847826e-01 
       2.437387741694e-04       1.513678304275e-01 
