# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 66.1767 h/Mpc,
# number of wavenumbers equal to 130
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       7.261927707093e-03 
       1.319039970183e-05       9.069258234763e-03 
       1.660572937635e-05       1.132639110811e-02 
       2.090537469327e-05       1.414527128494e-02 
       2.631830744443e-05       1.766569590441e-02 
       3.313278603720e-05       2.206225523886e-02 
       4.171170630578e-05       2.755297776151e-02 
       5.251192703764e-05       3.441013535469e-02 
       6.610859936996e-05       4.297372188267e-02 
       8.322579568497e-05       5.366826872201e-02 
       1.047750691046e-04       6.702379896891e-02 
       1.319039970183e-04       8.370193471384e-02 
       1.660572937635e-04       1.045283359131e-01 
       2.090537469327e-04       1.305329138761e-01 
       2.631830744443e-04       1.629994512344e-01 
       3.313278603720e-04       2.035264011746e-01 
       4.171170630578e-04       2.541004753020e-01 
       5.251192703764e-04       3.171839539236e-01 
       6.610859936996e-04       3.958147269217e-01 
       8.322579568497e-04       4.937136020951e-01 
       1.047750691046e-03       6.153841651961e-01 
       1.319039970183e-03       7.661720607296e-01 
       1.660572937635e-03       9.522588025047e-01 
       2.090537469327e-03       1.180312990179e+00 
       2.631830744443e-03       1.456802676638e+00 
       3.313278603720e-03       1.786503829598e+00 
       4.171170630578e-03       2.169896147112e+00 
       5.251192703764e-03       2.599430466525e+00 
       6.610859936996e-03       3.055668295601e+00 
       8.322579568497e-03       3.505723921859e+00 
       1.047750691046e-02       3.905488952345e+00 
       1.319039970183e-02       4.200910003193e+00 
       1.660572937633e-02       4.325049537317e+00 
       2.090537453514e-02       4.210179159500e+00 
       2.631818545635e-02       3.825101492440e+00 
       3.311571692125e-02       3.228970545860e+00 
       4.113809243311e-02       2.627583238962e+00 
       4.792590854610e-02       2.280591037655e+00 
       5.284436902701e-02       2.109850172293e+00 
       5.689644391095e-02       2.003272927082e+00 
       6.051252627066e-02       1.922766262655e+00 
       6.388413457411e-02       1.852420242313e+00 
       6.711249296401e-02       1.784234080096e+00 
       7.025823437965e-02       1.713929925128e+00 
       7.336115587705e-02       1.639454325492e+00 
       7.644928796912e-02       1.560291514294e+00 
       7.954353299775e-02       1.477074686465e+00 
       8.266024078725e-02       1.391305941823e+00 
       8.581273398637e-02       1.305062931735e+00 
       8.901225918437e-02       1.220718173703e+00 
       9.226860540985e-02       1.140663333417e+00 
       9.559052048996e-02       1.067036544389e+00 
       9.898599946599e-02       1.001456305838e+00 
       1.024624891378e-01       9.449359750136e-01 
       1.060270359164e-01       8.976907377159e-01 
       1.096863943056e-01       8.591419266869e-01 
       1.134471073830e-01       8.279188033785e-01 
       1.173155669539e-01       8.019627749132e-01 
       1.212980586983e-01       7.787125001353e-01 
       1.254007961065e-01       7.553853066297e-01 
       1.296299459934e-01       7.294372917393e-01 
       1.339916477160e-01       6.990373386661e-01 
       1.384920277736e-01       6.635173483475e-01 
       1.431372111762e-01       6.235815748254e-01 
       1.479333307714e-01       5.811988514937e-01 
       1.528865355934e-01       5.391228507957e-01 
       1.580029992204e-01       5.002464051173e-01 
       1.632889290723e-01       4.668268282463e-01 
       1.687505775527e-01       4.399562897433e-01 
       1.743942559171e-01       4.192781957822e-01 
       1.802263517371e-01       4.030606274623e-01 
       1.862533508214e-01       3.887485312914e-01 
       1.924818644494e-01       3.735137641454e-01 
       1.989186627765e-01       3.551763113891e-01 
       2.055707152847e-01       3.333722380607e-01 
       2.124452391818e-01       3.096408042172e-01 
       2.195497567139e-01       2.865004734273e-01 
       2.268921624510e-01       2.661864009342e-01 
       2.344808017550e-01       2.498589386021e-01 
       2.423245618548e-01       2.372026159060e-01 
       2.504329772620e-01       2.264745725795e-01 
       2.588163516754e-01       2.154743640774e-01 
       2.674858990930e-01       2.029026191202e-01 
       2.764539076010e-01       1.889558346162e-01 
       2.857339303080e-01       1.751195566270e-01 
       2.953410092148e-01       1.630644385738e-01 
       3.052919395542e-01       1.532693606505e-01 
       3.156055844677e-01       1.448915207670e-01 
       3.263032530092e-01       1.366094937789e-01 
       3.374091587054e-01       1.276627259838e-01 
       3.489509817175e-01       1.185362305715e-01 
       3.609605657343e-01       1.101751987805e-01 
       3.734747921333e-01       1.030140876098e-01 
       3.865366902904e-01       9.651119326131e-02 
       4.001968667448e-01       8.998771668101e-02 
       4.145153713076e-01       8.341322326610e-02 
       4.295641718077e-01       7.727147412243e-02 
